#
# Super-Kamiokande Solar Neutrino Flux from 1996 to 2018
# by Super-Kamiokande Collaboration 2023.10.16
#
# 1st column : mean time in seconds from 00:00:00 1970/01/01
# 2nd column : mean time - start time 
# 3rd column : end time - mean time
# 4th column : measured solar neutrino flux [10^6/cm2/s]
# 5th column : upper error [10^6/cm2/s]
# 6th column : loower error [10^6/cm2/s]
#


833654760 170100 277380 2.74 0.63 0.53
834127080 175500 210060 2.83 0.75 0.62
834550800 213180 230160 2.30 0.53 0.45
834997020 199380 212640 1.79 0.55 0.44
835380420 170520 265680 3.15 0.74 0.61
835885800 239280 225660 1.72 0.50 0.40
836306940 195180 205200 2.96 0.61 0.51
836732700 220140 203580 2.10 0.53 0.44
837138600 201600 219120 1.31 0.70 0.57
837608820 250920 184320 2.94 0.58 0.50
838002900 209220 219540 2.48 0.54 0.45
838494060 270120 274680 2.05 0.43 0.37
839007540 210780 176820 1.62 0.58 0.45
839370780 186180 234120 2.45 0.55 0.46
839938560 261900 108420 1.96 0.73 0.57
840283140 234060 206220 2.55 0.57 0.48
840693480 203100 236340 2.89 0.57 0.49
841083900 152940 375720 2.63 0.61 0.50
842108520 249300 213960 2.01 0.46 0.39
842522700 198720 198180 1.69 0.53 0.43
842942580 216360 204900 1.70 0.49 0.40
843384240 221040 207060 2.28 0.49 0.42
843838260 245040 211320 2.68 0.52 0.45
844224300 174660 221280 3.31 0.60 0.51
844680960 233400 230100 1.75 0.48 0.39
845120820 209100 214140 1.00 0.41 0.33
845569440 228960 226680 2.39 0.50 0.42
846006300 206040 206340 2.55 0.52 0.44
846408540 192060 204600 2.28 0.54 0.45
846869880 255060 252900 2.73 0.46 0.39
847380120 255120 251520 2.62 0.45 0.39
847792020 160200 213840 1.98 0.55 0.44
848234460 226560 222960 2.55 0.52 0.44
848690400 229560 214860 1.69 0.46 0.37
849091800 186300 191520 1.35 0.45 0.36
849527580 243960 251580 2.02 0.47 0.39
849985860 206460 182940 1.87 0.49 0.40
850430340 261300 226380 2.35 0.58 0.48
850849620 192600 218760 2.43 0.58 0.49
851277120 207480 195480 2.52 0.51 0.43
851732580 259680 242340 2.09 0.44 0.36
852230760 255600 211140 2.27 0.47 0.40
852664620 222360 208440 3.12 0.54 0.47
853003920 130620 254520 2.12 0.58 0.47
853501860 240060 216780 1.95 0.54 0.45
853965300 218700 202140 2.53 0.53 0.45
854424480 256560 241260 2.33 0.46 0.40
854885040 216360 217320 2.85 0.50 0.43
855332100 227160 225960 2.40 0.47 0.40
855757860 199620 186840 2.45 0.55 0.46
856207200 256920 182160 2.15 0.55 0.46
856595460 200940 211860 2.27 0.53 0.45
856971360 160980 165600 1.78 0.49 0.40
857325120 187980 192660 2.19 0.50 0.42
857767320 214980 187020 2.70 0.61 0.50
858194580 239820 238980 2.37 0.45 0.38
858611520 177780 180240 2.51 0.56 0.47
859001400 209040 244740 2.03 0.49 0.41
859512180 265800 255480 2.03 0.43 0.36
860008980 198720 203940 2.63 0.52 0.45
860410800 196680 198180 1.65 0.47 0.38
